[2024-10-06 11:51:44,577: INFO: main Welcome to our custom log]
[2024-10-06 11:53:34,830: INFO: main Welcome to our custom log]
[2024-10-06 17:52:33,435: INFO: common yaml file: config\config.yaml loaded successfully]
[2024-10-06 17:52:33,439: INFO: common yaml file: params.yaml loaded successfully]
[2024-10-06 17:52:33,440: INFO: common created directory at: artifacts]
[2024-10-06 17:52:33,441: INFO: common created directory at: artifacts/data_ingestion]
[2024-10-06 17:52:33,442: INFO: 1329163753 Downloading data from https://drive.google.com/file/d/1b6VS36rOqsxoWmBazDBlP_DyHIMgE1ye/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-10-06 17:57:20,865: INFO: 1329163753 Downloaded data from https://drive.google.com/file/d/1b6VS36rOqsxoWmBazDBlP_DyHIMgE1ye/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-10-06 18:09:02,518: INFO: common yaml file: config\config.yaml loaded successfully]
[2024-10-06 18:09:02,520: INFO: common yaml file: params.yaml loaded successfully]
[2024-10-06 18:09:02,520: INFO: common created directory at: artifacts]
[2024-10-06 18:09:02,521: INFO: common created directory at: artifacts/data_ingestion]
[2024-10-06 18:09:02,521: INFO: 1329163753 Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-10-06 18:09:32,310: INFO: 1329163753 Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-10-06 18:20:13,003: INFO: main >>>>> Stage Data Ingestion Stage started <<<<<]
[2024-10-06 18:20:13,004: INFO: common yaml file: config\config.yaml loaded successfully]
[2024-10-06 18:20:13,006: INFO: common yaml file: params.yaml loaded successfully]
[2024-10-06 18:20:13,007: INFO: common created directory at: artifacts]
[2024-10-06 18:20:13,008: INFO: common created directory at: artifacts/data_ingestion]
[2024-10-06 18:20:13,008: INFO: data_ingestion Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-10-06 18:20:44,930: INFO: data_ingestion Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-10-06 18:20:45,425: INFO: main >>>>> Stage Data Ingestion Stage completed <<<<<

x=========x]
